静岡	名詞	B-place

福岡	名詞	B-place
です	助動詞	O

明日	名詞	B-date

今日	名詞	B-date
です	助動詞	O

気温	名詞	B-type

天気	名詞	B-type
です	助動詞	O

鳥取	名詞	B-place
の	助詞	O
今日	名詞	B-date

高知	名詞	B-place
の	助詞	O
明日	名詞	B-date
です	助動詞	O

愛知	名詞	B-place
の	助詞	O
天気	名詞	B-type

徳島	名詞	B-place
の	助詞	O
天気	名詞	B-type
です	助動詞	O

島根	名詞	B-place
の	助詞	O
天気	名詞	B-type
を	助詞	O
教え	動詞	O
て	助詞	O
ください	動詞	O

今日	名詞	B-date
の	助詞	O
気温	名詞	B-type

明日	名詞	B-date
の	助詞	O
気温	名詞	B-type
です	助動詞	O

今日	名詞	B-date
の	助詞	O
天気	名詞	B-type
を	助詞	O
教え	動詞	O
て	助詞	O
ください	動詞	O

今日	名詞	B-date
の	助詞	O
岩手	名詞	B-place
の	助詞	O
気温	名詞	B-type

明日	名詞	B-date
の	助詞	O
埼玉	名詞	B-place
の	助詞	O
天気	名詞	B-type
です	助動詞	O

明日	名詞	B-date
の	助詞	O
兵庫	名詞	B-place
の	助詞	O
気温	名詞	B-type
を	助詞	O
教え	動詞	O
て	助詞	O
ください	動詞	O

東京	名詞	B-place
の	助詞	O
今日	名詞	B-date
の	助詞	O
気温	名詞	B-type

宮城	名詞	B-place
の	助詞	O
明日	名詞	B-date
の	助詞	O
天気	名詞	B-type
です	助動詞	O

栃木	名詞	B-place
の	助詞	O
今日	名詞	B-date
の	助詞	O
気温	名詞	B-type
を	助詞	O
教え	動詞	O
て	助詞	O
ください	動詞	O

もう一度	副詞	O
はじめ	名詞	O
から	助詞	O

はじめ	名詞	O
から	助詞	O

はじめ	名詞	O
から	助詞	O
お願い	名詞	O
し	動詞	O
ます	助動詞	O

最初	名詞	O
から	助詞	O

最初	名詞	O
から	助詞	O
お願い	名詞	O
し	動詞	O
ます	助動詞	O

初期	名詞	O
化	名詞	O
し	動詞	O
て	助詞	O
ください	動詞	O

キャンセル	名詞	O

すべて	名詞	O
キャンセル	名詞	O

香川	名詞	B-place
じゃ	助詞	O
ない	助動詞	O

山梨	名詞	B-place
じゃ	助詞	O
なく	助動詞	O
て	助詞	O

山形	名詞	B-place
じゃ	助詞	O
ない	助動詞	O
です	助動詞	O

鹿児島	名詞	B-place
で	助詞	O
は	助詞	O
あり	動詞	O
ませ	助動詞	O
ん	助動詞	O

明日	名詞	B-date
じゃ	助詞	O
ない	助動詞	O

明日	名詞	B-date
じゃ	助詞	O
なく	助動詞	O
て	助詞	O

明日	名詞	B-date
じゃ	助詞	O
ない	助動詞	O
です	助動詞	O

明日	名詞	B-date
で	助詞	O
は	助詞	O
あり	動詞	O
ませ	助動詞	O
ん	助動詞	O

天気	名詞	B-type
じゃ	助詞	O
ない	助動詞	O

天気	名詞	B-type
じゃ	助詞	O
なく	助動詞	O
て	助詞	O

天気	名詞	B-type
じゃ	助詞	O
ない	助動詞	O
です	助動詞	O

気温	名詞	B-type
で	助詞	O
は	助詞	O
あり	動詞	O
ませ	助動詞	O
ん	助動詞	O

